,x,y
327,8.97415,0.79252058
328,8.9756,0.79582262
329,8.97705,0.80430669
330,8.9785,0.80418849
331,8.97995,0.79542553
332,8.9814,0.7878626
333,8.982850000000001,0.78420252
334,8.9843,0.78677082
335,8.98575,0.7819617999999999
336,8.9872,0.7718842
337,8.98865,0.75533843
338,8.9901,0.72226137
339,8.99155,0.66496789
340,8.993,0.53811032
341,8.99445,0.31676811
342,8.9959,0.11671937
343,8.99735,0.11119488
344,8.9988,0.29688546
345,9.00025,0.50787789
346,9.0017,0.64203382
347,9.00315,0.70545119
348,9.0046,0.72018546
349,9.00605,0.72655678
350,9.0075,0.75187433
351,9.00895,0.7740501200000001
352,9.0104,0.78781915
353,9.01185,0.7986958
354,9.0133,0.79722393
355,9.01475,0.79195452
356,9.0162,0.7965882999999999
357,9.01765,0.79796177
358,9.0191,0.77844417
359,9.02055,0.74821627
360,9.022,0.74047029
361,9.02345,0.75821394
362,9.0249,0.76689178
363,9.02635,0.75187612
364,9.0278,0.72468591
365,9.02925,0.6890525200000001
366,9.0307,0.61382562
367,9.03215,0.45224413
368,9.0336,0.22823223
369,9.03505,0.07362641
370,9.0365,0.11126374
371,9.03795,0.30889431
372,9.0394,0.51782715
373,9.04085,0.6500209
374,9.042300000000001,0.7167720200000001
375,9.04375,0.7487191
376,9.0452,0.7620547999999999
377,9.04665,0.76649582
378,9.0481,0.77262259
379,9.04955,0.77380157
380,9.051,0.77429146
381,9.05245,0.78613991
382,9.0539,0.79770887
383,9.05535,0.7979798300000001
384,9.0568,0.78881109
385,9.05825,0.78656113
386,9.0597,0.79760307
387,9.06115,0.8010457200000001
388,9.0626,0.79165405
389,9.06405,0.78818423
390,9.0655,0.7891109
391,9.06695,0.7770191999999999
392,9.0684,0.76235104
393,9.06985,0.75965065
394,9.0713,0.75298458
395,9.07275,0.73264825
396,9.0742,0.69132066
397,9.07565,0.57700586
398,9.0771,0.35364115
399,9.07855,0.16736051
400,9.08,0.23188518
401,9.08145,0.4659307
402,9.0829,0.63891149
403,9.08435,0.7123491200000001
404,9.0858,0.73793453
405,9.08725,0.7316606
406,9.0887,0.69633859
407,9.09015,0.60265332
408,9.0916,0.39690155
409,9.09305,0.19144817
410,9.0945,0.22738613
411,9.09595,0.46137562
412,9.0974,0.64727473
413,9.09885,0.7249861999999999
414,9.1003,0.75299025
415,9.10175,0.76538318
416,9.1032,0.7776829
417,9.10465,0.7861678
418,9.1061,0.79230338
419,9.10755,0.79803407
420,9.109,0.79514062
421,9.11045,0.79262865
422,9.1119,0.80081791
423,9.11335,0.80786407
424,9.1148,0.80594409
425,9.11625,0.80353987
426,9.1177,0.79971325
427,9.11915,0.7914359
428,9.1206,0.79280412
429,9.12205,0.8034665
430,9.1235,0.80605972
431,9.12495,0.802885
